running_num	fish_id	id_date	common_name	length	id_notes
113	G.F.MG.02.035	2/26/2019	atlantic croaker	21	
114	G.F.MG.02.036	2/26/2019	atlantic croaker	19	
115	G.F.MG.02.037	2/26/2019	atlantic croaker	19	
116	G.F.MG.02.038	2/26/2019	silver seatrout	20	"anal: II9, dorsal: XI-28"
117	G.F.MG.02.039	2/26/2019	red drum	30	
118	G.F.MG.02.040	2/26/2019	atlantic croaker	20	
119	G.F.MG.02.041	2/26/2019	atlantic croaker	21	
120	G.F.MG.02.042	2/26/2019	atlantic croaker	21	
121	G.F.MG.02.043	2/26/2019	atlantic croaker	17	
122	G.F.MG.02.044	2/26/2019	atlantic croaker	17	
123	G.F.MG.02.045	2/26/2019	atlantic croaker	19	
124	G.F.MG.02.046	2/26/2019	atlantic croaker	17	
125	G.F.MG.02.047	2/26/2019	atlantic croaker	21	
126	G.F.SA.03.001	2/26/2019	atlantic croaker	28	
127	G.F.SA.03.002	2/26/2019	red drum	30	
128	G.F.SA.03.003	2/26/2019	red drum	35	
129	G.F.SA.03.004	2/26/2019	red drum	36	
130	G.F.SA.03.005	2/26/2019	red drum	47	
131	G.F.SA.03.006	2/26/2019	red drum	42	
132	G.F.SA.03.007	2/26/2019	red drum	27	
133	G.F.SA.03.008	2/26/2019	red drum	37	
134	G.F.AR.01.001	3/18/2019	red drum	49	
135	G.F.AR.01.002	3/18/2019	red drum	38	
136	G.F.AR.01.003	3/18/2019	red drum	31	
137	G.F.AR.01.004	3/18/2019	red drum	37	
138	G.F.AR.01.005	3/18/2019	red drum	30	
139	G.F.AR.01.006	3/18/2019	red drum	17	
140	G.F.AR.01.007	3/18/2019	red drum	19	
141	G.F.AR.01.008	3/18/2019	red drum	40	
142	G.F.AR.01.009	3/18/2019	red drum	45	
143	G.F.AR.01.010	3/18/2019	red drum	31	
144	G.F.AR.01.011	3/18/2019	red drum	34	
145	G.F.AR.01.012	3/18/2019	red drum	38	
146	G.F.AR.01.013	3/18/2019	red drum	25	
147	G.F.AR.01.014	3/18/2019	red drum	12	
